"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_067_1"
"Cycles: 2010 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, Difference between predicted and achieved BTEC Extended diploma points, Reformed BTEC indicator, POLAR4 Quintile, Applicant type                                                                    "
"Coverage: UK, 18 year old, main scheme applicants with a predicted BTEC Extended diploma. Restricted to applicants where the reformed/non-reformed status of their predicted and achieved BTEC extended diplomas is the same."
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -     4208 lines in total"
"------------------------------------------------------------------"
Year,Difference between predicted and achieved BTEC Extended diploma points,Reformed BTEC indicator,POLAR4 Quintile,Applicant type,Applicants,
2020,All,Non-reformed BTEC,Quintile 4,Main scheme applicant,3485
2020,All,Non-reformed BTEC,Quintile 5,Main scheme applicant,2720
2020,All,Non-reformed BTEC,Unknown,Main scheme applicant,10
2020,All,Reformed BTEC,Quintile 1,Main scheme applicant,965
2020,All,Reformed BTEC,Quintile 2,Main scheme applicant,1090
2020,All,Reformed BTEC,Quintile 3,Main scheme applicant,1255
2020,All,Reformed BTEC,Quintile 4,Main scheme applicant,1410
2020,All,Reformed BTEC,Quintile 5,Main scheme applicant,1065
2020,All,Reformed BTEC,Unknown,Main scheme applicant,5
2021,All,Non-reformed BTEC,Quintile 1,Main scheme applicant,2365
2021,All,Non-reformed BTEC,Quintile 2,Main scheme applicant,2780
2021,All,Non-reformed BTEC,Quintile 3,Main scheme applicant,3160
2021,All,Non-reformed BTEC,Quintile 4,Main scheme applicant,3225
2021,All,Non-reformed BTEC,Quintile 5,Main scheme applicant,2840
2021,All,Non-reformed BTEC,Unknown,Main scheme applicant,10
2021,All,Reformed BTEC,Quintile 1,Main scheme applicant,1570
2021,All,Reformed BTEC,Quintile 2,Main scheme applicant,1785
2021,All,Reformed BTEC,Quintile 3,Main scheme applicant,2095
2021,All,Reformed BTEC,Quintile 4,Main scheme applicant,2270
2021,All,Reformed BTEC,Quintile 5,Main scheme applicant,1800
2021,All,Reformed BTEC,Unknown,Main scheme applicant,5
2010,-1 points,All,All,All,2235
2010,-2 points,All,All,All,985
2010,-3 points,All,All,All,410
2010,-4 points,All,All,All,105
2010,-5 points,All,All,All,15
2010,-6 points,All,All,All,5
2010,0 points,All,All,All,8180
2010,1 point,All,All,All,4400
2010,2 points,All,All,All,2025
2010,3 points,All,All,All,645
2010,More than 3 points,All,All,All,145
2011,-1 points,All,All,All,2310
2011,-2 points,All,All,All,995
2011,-3 points,All,All,All,435
2011,-4 points,All,All,All,125
2011,-5 points,All,All,All,25
2011,-6 points,All,All,All,5
2011,0 points,All,All,All,9325
2011,1 point,All,All,All,4490
2011,2 points,All,All,All,1975
2011,3 points,All,All,All,560
2011,More than 3 points,All,All,All,115
2012,-1 points,All,All,All,2240
2012,-2 points,All,All,All,1240
2012,-3 points,All,All,All,580
2012,-4 points,All,All,All,195
2012,-5 points,All,All,All,40
2012,-6 points,All,All,All,15
2012,0 points,All,All,All,3805
2012,1 point,All,All,All,3975
2012,2 points,All,All,All,2275
2012,3 points,All,All,All,2635
2012,More than 3 points,All,All,All,630
2013,-1 points,All,All,All,2580
2013,-2 points,All,All,All,1335
2013,-3 points,All,All,All,690
2013,-4 points,All,All,All,210
2013,-5 points,All,All,All,65
2013,-6 points,All,All,All,10
2013,0 points,All,All,All,5890
2013,1 point,All,All,All,3695
2013,2 points,All,All,All,2440
2013,3 points,All,All,All,2325
2013,Less than -6 points,All,All,All,5
2013,More than 3 points,All,All,All,735
2014,-1 points,All,All,All,3180
2014,-2 points,All,All,All,1615
2014,-3 points,All,All,All,805
2014,-4 points,All,All,All,335
2014,-5 points,All,All,All,100
2014,-6 points,All,All,All,40
2014,0 points,All,All,All,7300
2014,1 point,All,All,All,4000
2014,2 points,All,All,All,2625
2014,3 points,All,All,All,2270
2014,Less than -6 points,All,All,All,5
2014,More than 3 points,All,All,All,675
2015,-1 points,All,All,All,3705
2015,-2 points,All,All,All,1965
2015,-3 points,All,All,All,945
2015,-4 points,All,All,All,370
2015,-5 points,All,All,All,110
2015,-6 points,All,All,All,20
2015,0 points,All,All,All,8810
2015,1 point,All,All,All,4675
2015,2 points,All,All,All,2685
2015,3 points,All,All,All,1935
2015,Less than -6 points,All,All,All,10
2015,More than 3 points,All,All,All,615
2016,-1 points,All,All,All,3755
2016,-2 points,All,All,All,1930
2016,-3 points,All,All,All,910
2016,-4 points,All,All,All,335
2016,-5 points,All,All,All,105
2016,-6 points,All,All,All,20
2016,0 points,All,All,All,8915
2016,1 point,All,All,All,4795
2016,2 points,All,All,All,2620
2016,3 points,All,All,All,1480
2016,Less than -6 points,All,All,All,10
2016,More than 3 points,All,All,All,400
2017,-1 points,All,All,All,3110
2017,-2 points,All,All,All,1575
2017,-3 points,All,All,All,765
2017,-4 points,All,All,All,305
2017,-5 points,All,All,All,95
2017,-6 points,All,All,All,35
2017,0 points,All,All,All,8700
2017,1 point,All,All,All,4445
2017,2 points,All,All,All,2405
2017,3 points,All,All,All,1375
2017,Less than -6 points,All,All,All,20
2017,More than 3 points,All,All,All,410
2018,-1 points,All,All,All,3045
2018,-2 points,All,All,All,1545
2018,-3 points,All,All,All,750
2018,-4 points,All,All,All,330
2018,-5 points,All,All,All,100
2018,-6 points,All,All,All,30
2018,0 points,All,All,All,7970
2018,1 point,All,All,All,3785
2018,2 points,All,All,All,1980
2018,3 points,All,All,All,900
2018,Less than -6 points,All,All,All,10
2018,More than 3 points,All,All,All,245
2019,-1 points,All,All,All,3075
2019,-2 points,All,All,All,1585
