"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_016_1"
"Cycles: 2010 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, A level points (equivalent grade profile), A level only status, Domicile, Gender, Age group, Applicant type                                                    "
"Coverage: UK, 18 year old applicants with at least 3 achieved A levels"
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -    32734 lines in total"
"------------------------------------------------------------------"
Year,A level points (equivalent grade profile),A level only status,Domicile,Gender,Age group,Applicant type,Applicants,
2021,All,All,All,Women,18,Non-main scheme applicant,240
2010,All,All,England,All,All,All,160885
2010,All,All,Northern Ireland,All,All,All,9025
2010,All,All,Scotland,All,All,All,270
2010,All,All,Wales,All,All,All,7980
2011,All,All,England,All,All,All,161610
2011,All,All,Northern Ireland,All,All,All,8965
2011,All,All,Scotland,All,All,All,230
2011,All,All,Wales,All,All,All,7620
2012,All,All,England,All,All,All,154570
2012,All,All,Northern Ireland,All,All,All,8930
2012,All,All,Scotland,All,All,All,240
2012,All,All,Wales,All,All,All,7260
2013,All,All,England,All,All,All,153440
2013,All,All,Northern Ireland,All,All,All,9010
2013,All,All,Scotland,All,All,All,225
2013,All,All,Wales,All,All,All,6910
2014,All,All,England,All,All,All,151405
2014,All,All,Northern Ireland,All,All,All,8635
2014,All,All,Scotland,All,All,All,230
2014,All,All,Wales,All,All,All,6780
2015,All,All,England,All,All,All,155370
2015,All,All,Northern Ireland,All,All,All,8800
2015,All,All,Scotland,All,All,All,220
2015,All,All,Wales,All,All,All,6950
2016,All,All,England,All,All,All,155310
2016,All,All,Northern Ireland,All,All,All,8420
2016,All,All,Scotland,All,All,All,195
2016,All,All,Wales,All,All,All,6920
2017,All,All,England,All,All,All,156470
2017,All,All,Northern Ireland,All,All,All,8265
2017,All,All,Scotland,All,All,All,220
2017,All,All,Wales,All,All,All,6420
2018,All,All,England,All,All,All,152180
