"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_022_1"
"Cycles: 2008 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, Qualification group, Ethnic group, Applicant type                                  "
"Coverage: UK, 18 year old applicants"
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -     1735 lines in total"
"------------------------------------------------------------------"
Year,Qualification group,Ethnic group,Applicant type,Applicants,
2018,All,Black,Non-main scheme applicant,285
2018,All,Mixed,Main scheme applicant,12265
2018,All,Mixed,Non-main scheme applicant,215
2018,All,Other,Main scheme applicant,4365
2018,All,Other,Non-main scheme applicant,125
2018,All,Unknown or Prefer Not To Say,Main scheme applicant,1840
2018,All,Unknown or Prefer Not To Say,Non-main scheme applicant,290
2018,All,White,Main scheme applicant,204735
2018,All,White,Non-main scheme applicant,3165
2019,All,Asian,Main scheme applicant,38650
2019,All,Asian,Non-main scheme applicant,635
2019,All,Black,Main scheme applicant,16135
2019,All,Black,Non-main scheme applicant,340
2019,All,Mixed,Main scheme applicant,13215
2019,All,Mixed,Non-main scheme applicant,195
2019,All,Other,Main scheme applicant,5120
2019,All,Other,Non-main scheme applicant,135
2019,All,Unknown or Prefer Not To Say,Main scheme applicant,1865
2019,All,Unknown or Prefer Not To Say,Non-main scheme applicant,410
2019,All,White,Main scheme applicant,200550
2019,All,White,Non-main scheme applicant,3835
2020,All,Asian,Main scheme applicant,42400
2020,All,Asian,Non-main scheme applicant,695
2020,All,Black,Main scheme applicant,17535
2020,All,Black,Non-main scheme applicant,440
2020,All,Mixed,Main scheme applicant,14210
2020,All,Mixed,Non-main scheme applicant,370
2020,All,Other,Main scheme applicant,5585
2020,All,Other,Non-main scheme applicant,175
2020,All,Unknown or Prefer Not To Say,Main scheme applicant,2030
2020,All,Unknown or Prefer Not To Say,Non-main scheme applicant,360
2020,All,White,Main scheme applicant,200235
2020,All,White,Non-main scheme applicant,5470
2021,All,Asian,Main scheme applicant,46700
2021,All,Asian,Non-main scheme applicant,595
2021,All,Black,Main scheme applicant,20020
2021,All,Black,Non-main scheme applicant,350
2021,All,Mixed,Main scheme applicant,16490
2021,All,Mixed,Non-main scheme applicant,220
2021,All,Other,Main scheme applicant,6420
2021,All,Other,Non-main scheme applicant,145
2021,All,Unknown or Prefer Not To Say,Main scheme applicant,2315
2021,All,Unknown or Prefer Not To Say,Non-main scheme applicant,285
2021,All,White,Main scheme applicant,219140
2021,All,White,Non-main scheme applicant,3525
2008,A level & BTEC,All,All,5615
2008,A level Only,All,All,164270
2008,BTEC Only,All,All,18040
2008,IB Only,All,All,1250
2008,Other,All,All,38395
2008,SQA Only,All,All,16500
2009,A level & BTEC,All,All,7895
2009,A level Only,All,All,170090
2009,BTEC Only,All,All,21840
2009,IB Only,All,All,1880
2009,Other,All,All,38415
2009,SQA Only,All,All,16970
2010,A level & BTEC,All,All,9800
2010,A level Only,All,All,175965
2010,BTEC Only,All,All,24645
2010,IB Only,All,All,2205
2010,Other,All,All,39100
2010,SQA Only,All,All,18635
2011,A level & BTEC,All,All,10425
2011,A level Only,All,All,176610
2011,BTEC Only,All,All,24965
2011,IB Only,All,All,2455
2011,Other,All,All,36180
2011,SQA Only,All,All,18560
2012,A level & BTEC,All,All,11805
